item_code_i,item_code_j,score
566,12492,0.7430762052536011
566,39281,0.7178507447242737
567,640,0.7593055963516235
568,49,0.8138461709022522
568,1130,0.7329410314559937
568,1286,0.7198095321655273
575,497,0.8556171655654907
575,1246,0.8504139184951782
575,1322,0.7115085124969482
576,1975,0.8897745013237
576,19502,0.8666860461235046
576,843,0.7999113202095032
576,2361,0.796956479549408
576,295,0.7916005849838257
576,462,0.7741583585739136
576,28781,0.7507619261741638
576,11118,0.7414763569831848
576,1980,0.7277340292930603
577,1333,0.8032790422439575
577,56,0.7529223561286926
594,1095,0.764769971370697
594,12787,0.7167990803718567
594,11892,0.7109870910644531
594,822,0.7098414301872253
594,672,0.7044631242752075
612,1490,0.8268612027168274
612,2180,0.7189713716506958
615,692,0.945030152797699
615,3489,0.8880554437637329
615,1498,0.876223087310791
615,813,0.8704038262367249
615,174,0.8667235374450684
615,15636,0.8426596522331238
615,28792,0.8422418236732483
615,5907,0.8357503414154053
615,616,0.8274610042572021
616,3489,0.8664436340332031
616,174,0.8494606614112854
616,692,0.8475697636604309
616,813,0.8318096399307251
616,615,0.8274610042572021
616,838,0.8238820433616638
616,915,0.8201108574867249
616,693,0.8106786012649536
616,22362,0.8086473345756531
619,717,0.7902721166610718
619,15762,0.7031848430633545
621,1324,0.7858301997184753
621,11888,0.7851109504699707
622,11887,0.8723281621932983
622,34755,0.8624897003173828
622,370,0.815027117729187
622,351,0.8010345101356506
622,735,0.7930435538291931
622,2360,0.7893466353416443
622,350,0.7866709232330322
622,14661,0.7521432042121887
622,2944,0.7467975616455078
623,920,0.7683016657829285
623,1460,0.752195417881012
623,1410,0.7356018424034119
623,1629,0.7330276966094971
623,10257,0.7178935408592224
623,370,0.7123425006866455
623,31815,0.7015202641487122
625,1528,0.7703909873962402
625,1584,0.7434623837471008
625,1525,0.7361517548561096
625,1174,0.7345224618911743
625,1317,0.7293033599853516
625,10775,0.7155435085296631
625,1301,0.7018588185310364
627,21970,0.8285384774208069
627,7467,0.8126987218856812
627,43519,0.726194441318512
627,1072,0.726194441318512
628,1822,0.8108260631561279
628,1519,0.7287589907646179
628,629,0.7250683307647705
